review_identity,review_deletion,pub_identity,brunch,dart,entertain,favourite,garden,history,late,music,pool,quiz,roast,sport,beer,cocktail,outdoor,restaurant,wine,nofeature,scenic,private,dj,comedy,karaoke,timeout,hours
d90d2356-b26a-4a58-a76e-f8042038020d,0,ab61c138-9f3b-44bd-9c8f-a636ee7f4a9d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1cbe6654-1d30-4d8b-9702-936768289b7b,0,830d634b-fc0e-4694-afb9-5df2697374c7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76e2676c-f97d-4ab0-bf84-6671d1ff6c29,0,bb4f3f19-ef31-4647-9a4d-fb8f5d373dd6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
05b225bd-7e67-41b8-bc5a-f38c06edb567,0,65905a5a-49ec-427a-8c80-7ae65097ebb3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ddcfb5fe-fc3b-4e9c-a281-dd327cc27e53,0,92c49a14-f650-4acc-a74f-b6fb96760631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ec0d34fa-b01f-462a-a625-42e6454caa4e,0,5c5140f8-437e-45c2-81ef-e86c95b765d1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5c60bb85-890a-414e-b498-d2a79e3adeac,0,cd0342af-6ab7-4734-bf55-aef114c985fd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
d2068dc3-1585-42da-978d-eb525810e018,0,e0ced5ab-6b02-4aab-a824-c19d4be57206,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46df5fd9-ced0-4b5e-8ff1-bf1c8481241f,0,9a4c0863-c2b6-4ad3-9898-68fc8ebcbb07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3fa055c0-f9c5-4cc1-a1f0-c0fc5b43a9be,0,ebff4fd9-8699-4c3e-8d72-9e67aa1a8c4a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1a14a76c-ec7e-4c83-be93-4562c3fbe5c0,0,1e9cf729-2d87-4225-b11e-d8f0d3daa626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3e3ac502-113b-49d8-8150-72101e2ada66,0,2d36df74-ca3b-4a3b-aefc-5efb9611a5f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
796a2c34-fb33-4d06-a941-1f5a1ec13e38,0,529a58a6-b9e3-49e1-99d2-683efb9f38ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5487b8cf-6e83-453c-b575-4fe8506b3a43,0,2d938e21-bf57-4ccc-a3c5-304d5f7f4716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6791ed67-790f-435f-ad1d-5b85b8d64e54,0,c71ac728-66af-490d-95f4-16ee47ac0c5b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce9513b4-9b72-43e4-855a-fc750a04b21b,0,4ed8c10e-3667-487b-825a-c6e15de432ec,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
