event_identity,pub_identity,event_day,event_detail,event_type
d214146c-0b25-43ee-8377-8bafd0e1f222,3c0e13d2-57f5-4e20-85da-8c49873b9224,sunday,dog day,entertain
6d4bb268-cced-4771-b10f-761102c8d6cc,3c0e13d2-57f5-4e20-85da-8c49873b9224,tuesday,7pm,quiz
a2c04a5e-cca0-4e1f-b682-9685354888bc,3c5d3d3d-05d0-415e-8b19-9229f77932b1,tuesday,,quiz
5ee852e7-0c4e-43b2-8171-a016a1de072d,3cacdc43-983d-4119-986a-1587674c025e,monday,closed,hours
5426bfb8-0d3d-4741-b6c4-fc25d8e3d03a,3cacdc43-983d-4119-986a-1587674c025e,thursday,closed,hours
6d2ccd89-20e0-4266-b2fd-45162aeb8f84,3cacdc43-983d-4119-986a-1587674c025e,tuesday,closed,hours
b6e462d8-d316-4b6a-bff4-fb9f25799c76,3cacdc43-983d-4119-986a-1587674c025e,wednesday,closed,hours
83e320d1-7626-4dc8-82b1-f8c3586a262f,3ce5eac8-17c9-4a33-aba1-c10f695660ef,monday,closed,hours
86ede56b-08ae-45f8-bdf3-c0e731625d47,3ce5eac8-17c9-4a33-aba1-c10f695660ef,tuesday,closed,hours
b57ad63c-9901-4ce8-8d43-82a050ff726d,3ce5eac8-17c9-4a33-aba1-c10f695660ef,wednesday,closed,hours
431429d5-b0fb-451d-b200-c01d6353bd40,3e36642a-c63f-406b-9e10-b70b4ace2d69,sunday,Jazz last sunday of the month,music
2def3c77-5a9b-4a4c-9425-cfb59b8575a4,3ec4f64f-6065-4e19-8b70-031605d30962,monday,,quiz
617fcbc0-c472-4936-b6d5-2ccce14275f4,3fb949ca-cd80-45b2-b7c9-d450ee2f2c6d,saturday,closed,hours
62464558-f7c2-48ed-bc53-046de160df4f,3fb949ca-cd80-45b2-b7c9-d450ee2f2c6d,sunday,closed,hours
bd553e50-01e8-4df6-b03e-e8d6225726b8,445269c4-b88d-4a1a-a51a-38556661f43c,saturday,,music
cf6c1787-b2e5-43d8-a11c-015a7d686e47,445269c4-b88d-4a1a-a51a-38556661f43c,thursday,7pm,quiz
0dbf055c-986a-4324-b732-f5edc6721681,445269c4-b88d-4a1a-a51a-38556661f43c,tuesday,Irish music,music
96699d12-df17-4943-b353-82510c4da0b1,44f933f3-3089-4df8-b983-489565b2424b,wednesday,7.30pm,quiz
0379d2d6-e48d-482d-95cb-2c6ced2790a4,45897c9f-51e7-43fa-91a0-e7e89e29590e,monday,closed,hours
60b7898a-ef3f-4a6c-b1f1-c13c8cbde3c6,45897c9f-51e7-43fa-91a0-e7e89e29590e,saturday,,music
b730328f-8603-4bae-a756-4902f32a7a7b,45897c9f-51e7-43fa-91a0-e7e89e29590e,sunday,,music
3a931c20-727b-47ab-9bcf-ecf8ffc675de,45cb2079-73b3-494c-9438-bf437bd0cd3a,thursday,Fondue night,entertain
ae391ebb-8e00-41a1-8f64-5f90fe3706e3,45cb2079-73b3-494c-9438-bf437bd0cd3a,wednesday,Fondue night,entertain
b3d582e5-ca9e-4ff9-9c56-d825f23ca9d8,479223e8-2444-4c90-af1b-276047066bd7,wednesday,7pm,quiz
a80e8c14-4ad3-4700-8420-84f5cf244634,4b4763d9-f1d4-4967-b6ff-f60295e0b08a,tuesday,Live music and open mic,entertain
b904a031-5a07-4a78-8c9b-fbb59620e830,4c0c6ec9-0e5a-4f30-840e-2a2d3fa0cec7,monday,8pm,quiz
e4cff5bd-3257-4b61-8252-c0d727a75642,4d2b172a-3f76-4936-af1f-3a9fa3129835,monday,,music
e4bdf9a3-8504-417b-b2e0-75f7208691d9,4d771274-5f0e-4df4-a0dd-728951e700dc,friday,Live music or disco karaoke,entertain
e3d48067-8abb-44a2-aa20-8b7f86cde4b4,4d771274-5f0e-4df4-a0dd-728951e700dc,saturday,Live music or disco karaoke,entertain
41cd8112-63df-4e9c-885f-bcd86587c4b8,4d771274-5f0e-4df4-a0dd-728951e700dc,sunday,closed,hours
3ad6c67d-d4e3-41c9-86dc-e7e07d64926c,4d8254ad-1246-42a6-bfb0-11b7e40e413b,monday,Game night,entertain
bbdc174f-d5ad-405e-86c5-d8bc22bef9c6,4db0af7c-e9ca-4475-9d0f-0d7ca82d31e8,saturday,,music
3f20a208-8621-4abf-8f39-d07ccabd022d,4db0af7c-e9ca-4475-9d0f-0d7ca82d31e8,sunday,,music
f0b756ba-9984-4437-813a-9bb7fcfbee8c,4e657bd9-9975-4f07-be10-5f1fe5677501,friday,Traditional live Irish music,music
133b8d79-c8cb-474d-91cd-dc016a41c221,4efe599e-daf0-4cd5-94b4-740242dba743,friday,Regular entertainment,entertain
ce37b7e4-93c4-4e77-b5df-536dc2f53f25,51735582-57d4-4609-9d86-1cda1d9e0e9a,friday,Drag bingo,entertain
a7f7e718-3f7b-4c68-9a1f-08602e4227fc,51735582-57d4-4609-9d86-1cda1d9e0e9a,monday,closed,hours
b408efb1-dad1-4d9f-8353-b12a0239ac83,51735582-57d4-4609-9d86-1cda1d9e0e9a,saturday,closed,hours
fa129b54-93c2-4c01-b30c-de89df5f04bb,51735582-57d4-4609-9d86-1cda1d9e0e9a,sunday,closed,hours
13dfc513-a680-4632-af70-acde6a245fc4,51735582-57d4-4609-9d86-1cda1d9e0e9a,tuesday,,music
7855ac90-2300-4fbd-9f7a-4299096c019a,525a8c71-6eb6-422a-870c-2f66d5d65808,sunday,7.30pm,quiz
3a7eebe5-2c3c-46fa-8941-a2ad2f327f7f,540826ee-31c9-4644-bbbd-b3ef0d47b08b,tuesday,8pm,quiz
325f5b69-5383-48ad-a681-3c34c08e4736,54de95e5-16b1-48a3-b00b-7f53c85a0745,sunday,7pm,quiz
d0fe55f1-daa8-4d4a-8924-60acf5f53f31,554bc650-de83-4db6-ad33-e74e8950d1e4,monday,Board games,entertain
217d648b-ed0b-4645-9641-cb664838b094,5587d72c-15c0-4308-8f8b-9afe523627fb,tuesday,7pm,quiz
6ac14e10-4c52-4645-bb54-125d2070fccc,55cfb269-6585-4ae1-bd89-8ef6cae6ea79,sunday,,music
bce9a774-0c34-4e5d-9bb1-745e61394c08,55cfb269-6585-4ae1-bd89-8ef6cae6ea79,thursday,Comedy,entertain
0b7d97d7-d6bd-4e86-9384-a8b38a58c120,55cfb269-6585-4ae1-bd89-8ef6cae6ea79,tuesday,8pm,quiz
e7cd045e-33ec-4d3d-ad58-4860d76cde7d,55f393ed-9aa5-4bb1-96b1-1b940022e694,friday,,music
0025b63a-0bf1-40a1-ac9d-cfa120d62caf,55f393ed-9aa5-4bb1-96b1-1b940022e694,saturday,,music
e94ce090-032c-4313-8a26-cfbbeb9905e4,55f393ed-9aa5-4bb1-96b1-1b940022e694,sunday,8pm,quiz
493ed58f-37ce-4b75-b792-76e730858d33,55f393ed-9aa5-4bb1-96b1-1b940022e694,wednesday,7.30pm,quiz
76d14a97-c121-49fa-8213-715305ca8a39,569209fe-7b87-4d11-8d24-3525d6b8e560,monday,closed,hours
67c8da48-5d9c-4fb3-98c8-b2ac5cf585d5,569209fe-7b87-4d11-8d24-3525d6b8e560,tuesday,closed,hours
eff27728-b112-4229-88f2-7a4bc9ccfd64,5778512f-1a16-4a77-bd7e-ac430fedf578,tuesday,Live music and open mic,entertain
39782391-ed4c-4bab-94c5-daf5d064a928,58d0c171-def5-4abf-8ae8-8d6b8dbea0de,tuesday,8pm,quiz
b5dc830e-6f36-429b-bf94-a3a5625e7fb8,59789e1f-5ea2-4b87-901f-fbf69bd59701,sunday,4.30pm,music
1b4b098c-0382-4ceb-8d67-f4f9ec87bd94,59b1023e-1eb6-453e-8036-668749bbf31a,wednesday,7.30pm,quiz
5ad93187-805a-4b9e-8fa6-b9532ed3e1a4,5a3094e9-5f78-4caa-bc21-23cefc0d0afe,monday,6pm Karaoke,entertain
8e455782-1da2-4e68-bf77-2346f08435af,5a3094e9-5f78-4caa-bc21-23cefc0d0afe,wednesday,6pm Karaoke,entertain
a446ecbf-81da-4cf7-a31d-59b82ba2ebc8,5a5374a7-d466-45ef-86bc-efe0458af6ea,monday,,music
67559e4c-4e3e-4a85-b07d-b8c691df597b,5a5374a7-d466-45ef-86bc-efe0458af6ea,saturday,,music
a953587e-a48e-4b6d-9fe3-8db92bd0edbd,5a5374a7-d466-45ef-86bc-efe0458af6ea,sunday,,music
40f2a022-5304-43ee-a9e3-1681bdf3b808,5a5374a7-d466-45ef-86bc-efe0458af6ea,thursday,DJs,dj
062a7922-4cb2-40d1-bbf1-db2ac9427c27,5b901c7f-6de6-4051-897b-d2366f5d92a6,monday,7.30pm,quiz
77e3b280-faac-4a41-9d19-34abdebd8a71,5b901c7f-6de6-4051-897b-d2366f5d92a6,tuesday,8pm,quiz
f67ba7c8-4154-47d0-a75e-c34e058127fa,5bed5842-4c53-4d3e-9d25-470516b5436c,tuesday,8pm,quiz
82c3e074-742b-4faf-9f65-4844e4f871df,5c79ee71-6991-4aee-8e50-904de5486a4b,monday,8pm,quiz
1c69c6b8-ab85-4baa-add6-1352008591f0,5e775625-fe5c-49b8-9648-d9f7929eb241,sunday,7pm,quiz
f80b2fe6-907c-4b82-b3c1-2c229eacdb0a,5f107b8f-94d2-4c95-b3e6-3a4bcc5183a9,friday,Comedy,entertain
cf1c279b-176a-4968-85b4-39102c002ad3,5f107b8f-94d2-4c95-b3e6-3a4bcc5183a9,monday,Comedy,entertain
c6ed93d4-fc21-44e3-a706-7885120d4741,5f107b8f-94d2-4c95-b3e6-3a4bcc5183a9,saturday,Comedy,entertain
727e1d23-433d-471f-a035-638f87e6b943,5f107b8f-94d2-4c95-b3e6-3a4bcc5183a9,thursday,Comedy,entertain
da24afd5-3d19-412d-a367-f98800db817f,5f107b8f-94d2-4c95-b3e6-3a4bcc5183a9,tuesday,Comedy,entertain
6c170f7d-41d0-4d14-9478-49545e060902,5f107b8f-94d2-4c95-b3e6-3a4bcc5183a9,wednesday,Comedy,entertain
631ca554-2762-4e1e-819e-c602257a82e3,5f83fafd-cdaa-4b72-958d-ef6ac6c7c2f4,monday,closed,hours
c62b5740-8610-455a-afee-eedd08ae4cd5,5f83fafd-cdaa-4b72-958d-ef6ac6c7c2f4,sunday,closed,hours
9710fd51-9b19-4a28-a23f-a6fc507ca1ba,5f83fafd-cdaa-4b72-958d-ef6ac6c7c2f4,tuesday,closed,hours
dbe54f8d-9dfc-4953-baaa-bd9ca2b74e48,627185f0-212d-43d6-ad3c-8d0f1a5e6108,friday,9pm,music
4609ea82-1d06-4494-adec-e7fb91d6f3aa,627185f0-212d-43d6-ad3c-8d0f1a5e6108,monday,7.45pm,quiz
394d4524-fc6f-4107-b93d-b672c2dc4417,627185f0-212d-43d6-ad3c-8d0f1a5e6108,wednesday,8pm,quiz
b4254b63-9ba9-4392-9a5d-177a84019c63,62d2a587-2e8c-41e0-8e7d-90737363d45e,monday,7.45pm,quiz
ac3b3c64-e2cc-407f-b897-b70e111e127d,6338abc5-9a97-40c8-9e13-b7de1a2c5852,wednesday,8pm,quiz
e2155c0e-8c45-4970-8dc5-411a26880089,637a0365-d079-44f4-aa73-b7c38098d64a,friday,,music
2c9fa8f3-5715-4df9-9243-75a715f56399,66cd6c07-45d5-4a4a-b7fe-a171f5c6f3d1,monday,closed,hours
8f38807c-5220-4483-9d55-f6ba4153f571,6965daa1-882e-4361-8965-276a02cdd614,monday,,quiz
3eeefaa6-d1cb-4eda-bdb6-f043a79c62b2,6b75d781-b8c3-490d-b586-116dd69cad7c,friday, ,music
18375aba-2024-4d17-b953-13b697504fcd,6b75d781-b8c3-490d-b586-116dd69cad7c,monday,8pm,quiz
7f03c8c2-af8c-488b-8898-72ff352e0d7b,6b75d781-b8c3-490d-b586-116dd69cad7c,saturday, ,music
25c74236-b7d0-4c37-9d5e-d584c9e8f64a,6b75d781-b8c3-490d-b586-116dd69cad7c,thursday, ,music
3f05d822-16c1-4d5e-ad9e-e11ab12a89a5,6b75d781-b8c3-490d-b586-116dd69cad7c,wednesday, ,music
