station_identity,station_deletion,station_name,station_latitude,station_longitude,zone,postcode,direction_identity
706f9361-3adb-41e7-9dab-aa1f1e5076a4,false,Brent Cross,51.57659886839313,-0.2133358378663098,3,NW11 9UA,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
39ead995-2e04-421c-a69c-963a4e54ad84,false,Brentford,51.487535802426834,-0.309622531111568,4,TW8 9LF,d68422e6-b4c1-4d76-ad60-6fdc8758d831
196530ca-3bf7-4aa6-8704-1ba0c094a329,false,Brentwood,51.613610829903095,0.2996728214582176,7,CM14 4EW,c31d725d-5697-4031-94b4-0b4545cf75ef
1874e07f-a7b0-4f47-9515-d15eafd0cd46,false,Brimsdown,51.65524456622429,-0.0310922768910031,5,EN3 7NA,c31d725d-5697-4031-94b4-0b4545cf75ef
f23c49ec-fe29-4b7e-8270-86318febdfc4,false,Brixton,51.46273661697816,-0.1145520968292283,2,SW9 8HE,4e8ce58e-daea-4d93-9490-11e0724e6445
fcaf650b-c168-47e1-afb0-6c1fe368c077,false,Brockley,51.46474960336704,-0.0377482504677787,2,SE4 2RW,4e8ce58e-daea-4d93-9490-11e0724e6445
b82b5e79-de26-4c8f-bdfb-8bfdb19020c2,false,Bromley North,51.40894234206782,0.0172354519587101,4,BR1 3NN,a1f41008-b499-4a71-82d4-444dc4d71d82
541b8ab1-327f-4111-b2f1-c074deeeb20f,false,Bromley South,51.40000131982635,0.0173595804973148,5,BR1 1LX,a1f41008-b499-4a71-82d4-444dc4d71d82
e8653730-2d95-4247-a9d3-6fd1c71c780f,false,Bromley-by-Bow,51.52484018370095,-0.0116823743530453,"2,3",E3 3BT,d760aad1-f5d3-476a-9030-9fb1c919b639
284b29f2-4669-431c-9942-9ad451aabf46,false,Brondesbury,51.54526203281226,-0.2028384833427922,2,NW6 7QL,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
01277358-19c3-4c89-9b9d-99586d98c154,false,Brondesbury Park,51.54032502366848,-0.2104739441080781,2,NW6 6RP,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
c1e2646d-d263-4ef3-9484-3fdf35e3d091,false,Broxbourne,51.74701555272976,-0.0110240837822528,9,EN10 7AW,c31d725d-5697-4031-94b4-0b4545cf75ef
bbb759cc-c8f9-40e2-8000-4de5c72206c2,false,Bruce Grove,51.59401113363423,-0.07039898936228,3,N17 8AD,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
843f59bb-8f06-47db-8a10-161d6e0560cc,false,Buckhurst Hill,51.62657674004732,0.0467125414287692,5,IG9 5ET,c31d725d-5697-4031-94b4-0b4545cf75ef
e59b5bad-a164-4f87-aedb-7d1a919f23ed,false,Burnham,51.52350398967751,-0.6463882083350451,,SL1 6JT,4e8ce58e-daea-4d93-9490-11e0724e6445
8dce247a-a5e9-4aed-a85f-151548f732ae,false,Burnt Oak,51.60255148173764,-0.2643307082008112,4,HA8 0LA,56f2aa1c-b9ad-4a39-a5cb-fb55a75e1355
e9f1a099-b70f-40af-b404-4586a315c1ef,false,Bush Hill Park,51.64148184854447,-0.0692804122261309,5,EN1 1BA,c31d725d-5697-4031-94b4-0b4545cf75ef
f58406b5-566a-462a-a066-af423feef466,false,Bushey,51.64554353257736,-0.3847215327260823,8,WD19 4ST,56f2aa1c-b9ad-4a39-a5cb-fb55a75e1355
42b50a60-e2fd-4ca0-a521-ee076f060f07,false,Caledonian Road,51.54788524982811,-0.1183608610646948,2,N7 9BA,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
999d4e8b-7f82-4c3e-8a3d-04b1ca3aad65,false,Caledonian Road and Barnsbury,51.54328438938168,-0.1152048559488143,2,N1 0SL,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
54fe26e3-fea8-457d-89e4-bc9be6c26a42,false,Cambridge Heath,51.5320596731624,-0.0572032006374023,2,E2 7NA,d760aad1-f5d3-476a-9030-9fb1c919b639
ec90fc90-5f25-4090-ad52-824e6d6bf3a9,false,Camden Road,51.54185100885649,-0.1392031114010443,2,NW1 9LQ,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
c8ba9409-51c5-4435-ac3c-9b17feb49030,false,Camden Town,51.53996912160411,-0.1424523798764894,2,NW1 8NH,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
ea8ccd3f-ec69-4fd0-8348-a51616f0a618,false,Canada Water,51.49816833125088,-0.0508071208490972,2,SE16 7BB,4e8ce58e-daea-4d93-9490-11e0724e6445
416236f6-07fa-48ac-a7a2-93482c1a3aab,false,Canary Wharf,51.50357837512887,-0.0194668401393244,2,E14 4QS,d760aad1-f5d3-476a-9030-9fb1c919b639
362a6771-bfae-4d15-aa8a-881a77bbff74,false,Canning Town,51.51387030350512,0.0083056327487643,3,E16 1DQ,d760aad1-f5d3-476a-9030-9fb1c919b639
e152f0fa-98f7-45d8-a9f9-e0ada5d954a3,false,Cannon Street,51.51136194370192,-0.0902505264150347,1,EC4N 6AP,fa3a9c79-9948-4923-ac41-55e5962faba9
770c23f0-1fb7-4255-8c05-6ded743f4d6d,false,Canonbury,51.54818823621243,-0.092574195328179,2,N1 2PG,9beb28ec-f491-4ffd-8601-0ad71c0bdbc2
109d31fc-2464-4e06-8bcf-cc0f3bd1258e,false,Canons Park,51.60765009028535,-0.294391591494146,5,HA8 6RN,56f2aa1c-b9ad-4a39-a5cb-fb55a75e1355
ed6dd52d-5372-47ba-bb71-14f03ef136bd,false,Carpenders Park,51.628186088758376,-0.3858293151270327,7,WD19 7DT,56f2aa1c-b9ad-4a39-a5cb-fb55a75e1355
3cb0a9b3-fa72-4164-8a7e-58dbf41676f4,false,Carshalton,51.36842609544169,-0.166398326395598,5,SM5 2HT,4e8ce58e-daea-4d93-9490-11e0724e6445
3b3ae0b0-6ab5-4b5f-9231-e4e7daea4919,false,Carshalton Beeches,51.357386565323054,-0.1694963244693624,5,SM5 3LG,4e8ce58e-daea-4d93-9490-11e0724e6445
d521a169-c3aa-4cff-ae4d-8105f47e065a,false,Castle Bar Park,51.52297312488631,-0.3315040699380954,4,W7 1AY,095bb39d-fce2-48a9-a766-d2c297c55985
b5cc8879-8f82-419a-b7c8-751ef6e800b4,false,Caterham,51.28216269622904,-0.0786072982130977,6,CR3 6LB,a1f41008-b499-4a71-82d4-444dc4d71d82
418b10a2-5ca0-4795-a34b-4846d1b8f184,false,Catford,51.444264871170326,-0.0265384985567016,3,SE6 4XT,4e8ce58e-daea-4d93-9490-11e0724e6445
32775326-16da-4f88-abca-9fb6dfa992e1,false,Catford Bridge,51.44469458702001,-0.0248218759100756,3,SE6 4RE,4e8ce58e-daea-4d93-9490-11e0724e6445
d0a9bc3e-917c-4824-926c-9eb97c0b9077,false,Centrale,51.37576730003021,-0.1038881032216323,"3,4,5,6",CR0 1XT,a1f41008-b499-4a71-82d4-444dc4d71d82
