pub_identity,station_identity,detail_name,address,category,colour,detail_deletion,detail_latitude,detail_longitude,extra,place,rank
4523a524-b894-4057-8f68-05512da79c5d,1a603278-e551-40dd-8188-70a81cc26f73,Old Ship Hackney,"2 Sylvester Path, London E8 1EN, UK",Bar,#000000,False,51.54593367974906,-0.055810734629631,Outdoor seating,ChIJJ4w-1uQcdkgRob3JzA4qots,4.3
667004f6-2829-40a8-b1ab-79c5343e5fd3,1a603278-e551-40dd-8188-70a81cc26f73,House of Immersive,"18 Bohemia Pl, London E8 1DU, UK",Bar,#000000,False,51.5474067357655,-0.0522487610578537,No details on this pub,ChIJLW8LdE8ddkgR_SDOEpNt3X8,4.1
5a3094e9-5f78-4caa-bc21-23cefc0d0afe,1a603278-e551-40dd-8188-70a81cc26f73,The Crown Pub & Guesthouse,"418 Mare St, London E8 1HP, UK",Bar,#000000,False,51.54954461503022,-0.0545118749141693,Mon/Wed 6pm karaoke. Pub with accomodation,ChIJm9rZpvscdkgRN2vzRBKuZVA,4.5
14ca1c76-ccbf-48b7-aa3f-d0276cb0e0dd,1a603278-e551-40dd-8188-70a81cc26f73,Hackney Tap,"354 Mare St, London E8 1HR, UK",Bar,#000000,False,51.5477532566636,-0.0546905770897865,Japanese gyoza,ChIJDxpYEgwddkgR1gIjmWIC98M,4.2
d5518e94-d024-4dec-a5ae-7ce30ef25743,324ae823-eecc-45ad-94c1-15915c736bc1,The Pembury Tavern,"90 Amhurst Rd, London E8 1JH, UK",Bar,#000000,False,51.54944433251617,-0.0592043995857238,Tue quiz. Bar billiards,ChIJoYQEhvAcdkgRQrz3O6jLA-g,4.4
c1044c8f-4f99-4056-8d6a-c0ada8f65bb8,ade0de5f-3956-463f-912f-bdb63b5174a5,Mascara Bar,"72 Stamford Hill, London N16 6XS, UK",Bar,#0275d8,False,51.56681242689182,-0.0727036222815513,Tue: jazz. Sat; live music,ChIJO2xKzmccdkgRr1dbheTjYzg,4.2
25f791cc-a5a6-4cac-8b69-586702af957d,ade0de5f-3956-463f-912f-bdb63b5174a5,Birdcage Stoke,"58 Stamford Hill, London N16 6XS, UK",Bar,#0275d8,False,51.566288068880965,-0.0727492198348045,Outside tables,ChIJwyQSfIsddkgRezLlQ_TwDTw,4.6
d32da59a-43c2-4478-a9a0-70e724acc75a,ade0de5f-3956-463f-912f-bdb63b5174a5,Stokey Karaoke,"20 Stamford Hill, London N16 6XZ, UK",Bar,#0275d8,False,51.564639928095545,-0.0728511437773704,Karaoke hire on Fri/Sat only,ChIJP-FyBmccdkgRz_lqLPSyGng,4.8
0f215e66-e989-484c-a456-e2c06e807d29,ade0de5f-3956-463f-912f-bdb63b5174a5,The Wheatsheaf,"6 Windus Rd, London N16 6UP, UK",Bar,#0275d8,False,51.56614718310652,-0.0721530988812446,Traditional pub,ChIJdeuwv2ccdkgRc1RoMYq9law,4.5
e74bdf25-8684-46f9-879b-4c756f8408c8,2a829aac-cd42-4f92-bb27-7417ea56f4fd,The Shakespeare,"57 Allen Rd, London N16 8RY, UK",Bar,#0275d8,False,51.55548090428115,-0.0818077102303505,Traditional pub,ChIJy82odYgcdkgR3yqODeiloc8,4.5
