pub_identity,monday,tuesday,wednesday,thursday,friday,saturday,sunday
29c740d3-384a-4a66-9588-1b96e84a7a9d,no events,no events,no events,no events,no events,no events,no events
2adfb24e-f964-4a76-8c4f-799f7c704096,no events,no events,no events,no events,no events,no events,Open mic nightc
2b58e4be-e0f8-492d-9637-6faa0ca4f6fc,no events,no events,no events,no events,no events,no events,no events
2b918e0e-447b-4939-97ae-023c542b46d2,no events,no events,no events,no events,no events,no events,no events
2b99f168-e63b-445e-a7dc-7f8bf76da331,no events,no events,no events,no events,no events,no events,7pm quiz
2be39d69-a818-4c2d-9b58-bec09e585032,no events,no events,no events,no events,no events,no events,no events
2c42f683-4123-446b-8d5e-53abbe613dcf,no events,no events,no events,no events,no events,no events,no events
2c9b2177-cd36-4de3-9604-52e27b68e587,no events,no events,no events,no events,no events,no events,no events
2cd9035f-af04-41dd-b63c-f47b75c90a8f,no events,no events,7.30pm quiz,no events,no events,no events,no events
2dbf12b8-120a-46fd-ab1a-d1bb0a6ea778,no events,no events,no events,no events,no events,no events,7.30pm quiz
2dc38644-2fce-446f-a813-a2ba3e18eedf,no events,no events,no events,no events,no events,no events,no events
2e0207c5-32bf-4556-a37e-955b214d8757,no events,no events,no events,no events,no events,no events,no events
2e161f42-7d5a-4ff5-80c9-daa6f53f61c8,no events,no events,no events,no events,no events,no events,no events
2e367eb2-c546-4db2-b71c-c3446b63889f,no events,no events,no events,no events,no events,no events,no events
2ee54ca1-e1cf-4d1f-bc86-89c2136cbeae,no events,8pm quiz,no events,no events,no events,no events,no events
2ee6f921-269c-4977-a1d9-f59d1efb3871,no events,no events,no events,no events,no events,no events,no events
2f149ce3-29c5-4f29-b3cc-de9f72f917b3,no events,no events,no events,no events,no events,no events,no events
2fe38cf3-b1e4-4dcf-9c57-dfd3b99604b2,TBC,TBC,TBC,TBC,TBC,TBC,TBC
30076bbc-f118-4716-a74c-156b7ec256a5,quiz,no events,live music and DJs,live music and DJs,live music and DJs,live music and DJs,live music and DJs
3058f233-ea9e-4eb7-98cb-68dda69d344d,no events,1st tuesday of month quiz,no events,no events,no events,no events,no events
30f4c88f-c2da-49ec-9671-a7e2c7cfda2e,no events,no events,no events,no events,no events,no events,no events
31578bef-e1d2-4852-a548-beda55ab792c,7.30pm quiz,board games,7pm live folk music,no events,no events,no events,no events
31661734-bb83-4bf4-8c68-0b7afd4f8d48,no events,no events,no events,7.30pm quiz,no events,no events,no events
31de6bf0-9819-4cad-81fc-6d787312acc3,no events,no events,no events,no events,no events,no events,no events
3227e6fa-c80b-44d7-abb9-2b8c5d9dc817,no events,7.30pm quiz,no events,no events,no events,no events,no events
32930f07-b607-4816-a44e-56538f01ca60,no events,no events,no events,no events,no events,no events,no events
32a17618-9e23-450c-b921-a6bab0dfdd6f,no events,no events,no events,no events,no events,no events,no events
32db5c41-cb6f-4836-8db1-aa6824536274,no events,no events,no events,no events,no events,no events,no events
